file,ncoords,minx,miny,maxx,maxy,centerx,centery,area_size_X,area_size_Y,class
atashinchi_layout_gpt-5.2_202601291620.json,266,0,0,11.6,11.6,5.8,5.8,11.6,11.6,bottom_left
Big_house_layout_gpt-5.2_202601252234.json,258,0,0,17,12,8.5,6,17,12,bottom_left
Big_house_layout_gpt-5.2_202601270534.json,252,0,0,14.8,10.8,7.4,5.4,14.8,10.8,bottom_left
complex_test_layout_gpt-5.2_202601161644.json,57,-2.8,-3.45,3.85,2.9,0.525,-0.275,8,7,other
complex_test_layout_gpt-5.2_202601162001.json,55,-3.3,-3.45,4.45,3,0.575,-0.225,9,7,other
complex_test_layout_gpt-5.2_202601171559.json,57,-2.6,-3.2,4.15,2.25,0.775,-0.475,8.5,6.5,other
complex_test_layout_gpt-5.2_202601171615.json,57,-3.3,-3.45,4.45,2.95,0.575,-0.25,9,7,other
complex_test_layout_gpt-5.2_202601171709.json,57,-4,-3.2,4.35,3.1,0.175,-0.05,9,6.5,other
complex_test_layout_gpt-5.2_202601171740.json,57,-3,-3.22,3.42,2.6,0.21,-0.31,7,6.5,other
complex_test_layout_gpt-5.2_202601181514.json,57,-3.2,-2.95,3.9,2.65,0.35,-0.15,8,6,other
complex_test_layout_gpt-5.2_202601181900.json,57,-3.85,-3.475,4.35,2.85,0.25,-0.3125,9,7,other
complex_test_layout_gpt-5.2_202601202214.json,57,-3.925,-2.95,3.2,2.2,-0.3625,-0.375,8,6,other
complex_test_layout_gpt-5.2_202601202225.json,57,-4.425,-3.5,3.2,3.05,-0.6125,-0.225,9,7,other
complex_test_layout_gpt-5.2_202601221811.json,57,-4.9,-3.9,3.6,3.35,-0.65,-0.275,10,8,other
floor_plan2_layout_gpt-4o-mini_202601131649.json,13,-1.5,-1.6,0.8,1.4,-0.35,-0.1,3.2,3.2,other
floor_plan2_layout_gpt-5.2_202601122137.json,15,-0.7,-1.57,1.42,1.1,0.36,-0.235,3.2,3.2,other
floor_plan2_layout_gpt-5.2_202601122320.json,15,-0.625,-1.5975,1.4625,1.325,0.41875,-0.13625,3.2,3.2,other
floor_plan2_layout_gpt-5.2_202601131747.json,15,-1,-1.575,1.425,1.35,0.2125,-0.1125,3.2,3.2,other
floor_plan2_layout_gpt-5.2_202601132141.json,15,-1.05,-1.575,1.375,1.3,0.1625,-0.1375,3.2,3.2,other
floor_plan2_layout_gpt-5.2_202601132307.json,15,-1.15,-1.575,1.425,1.35,0.1375,-0.1125,3.2,3.2,other
floor_plan2_layout_gpt-5.2_202601140035.json,15,-1.15,-1.575,1.425,1.35,0.1375,-0.1125,3.2,3.2,other
floor_plan2_layout_gpt-5.2_202601140053.json,15,-1.15,-1.575,1.425,1.35,0.1375,-0.1125,3.2,3.2,other
floor_plan2_layout_gpt-5.2_202601140103.json,15,-1.05,-1.58,1.38,1.25,0.165,-0.165,3.2,3.2,other
floor_plan2_layout_gpt-5.2_202601140124.json,15,-1.15,-1.575,1.425,1.35,0.1375,-0.1125,3.2,3.2,other
floor_plan2_layout_gpt-5.2_202601182006.json,15,-1.7,-2.21,2.35,1.85,0.325,-0.18,5,4.5,other
floor_plan2_layout_gpt-5.2_202601202138.json,17,-2.425,-2.2,1.75,2.2,-0.3375,0,5,4.5,other
floor_plan2_layout_gpt-5.2_202601202148.json,15,-2.025,-2.2,1.45,1.775,-0.2875,-0.2125,4.5,4.5,other
floor_plan2_layout_gpt-5.2_202601270349.json,30,0,0,5.2,4.6,2.6,2.3,5.2,4.6,bottom_left
floor_plan3_layout_gpt-5.2_202601182129.json,15,-1,-1.55,1.475,1.275,0.2375,-0.1375,3.2,3.2,other
floor_plan3_layout_gpt-5.2_202601182154.json,15,-0.9,-1.575,1.35,1.2,0.225,-0.1875,3.2,3.2,other
floor_plan3_layout_gpt-5.2_202601190059.json,15,-1.05,-1.575,1.43,1.2,0.19,-0.1875,3.2,3.2,other
floor_plan3_layout_gpt-5.2_202601202236.json,15,-1.425,-1.55,0.95,1.1,-0.2375,-0.225,3.2,3.2,other
floor_plan3_layout_gpt-5.2_202601202244.json,15,-1.525,-1.575,1,1.3,-0.2625,-0.1375,3.2,3.2,other
floor_plan_ c_layout_gpt-5.2_202601192136.json,45,-4.5,-0.55,4.9,2.75,0.2,1.1,10,5.6,other
floor_plan_ c_layout_gpt-5.2_202601242046.json,94,0,0,15,6,7.5,3,15,6,bottom_left
floor_plan_w_layout_gpt-5.2_202601191721.json,17,-1.05,-1.55,1.475,1.55,0.2125,0,3.2,3.2,other
floor_plan_w_layout_gpt-5.2_202601191746.json,17,-1,-1.6,1.35,1.6,0.175,0,3.2,3.2,other
floor_plan_w_layout_gpt-5.2_202601191806.json,17,-0.95,-1.55,1.475,1.55,0.2625,0,3.2,3.2,other
floor_plan_w_layout_gpt-5.2_202601191828.json,17,-1.05,-1.6,1.525,1.6,0.2375,0,3.2,3.2,other
floor_plan_w_layout_gpt-5.2_202601202254.json,17,-1.525,-1.575,0.95,1.55,-0.2875,-0.0125,3.2,3.2,other
floor_plan_w_layout_gpt-5.2_202601291537.json,33,0,0,3.2,3.2,1.6,1.6,3.2,3.2,bottom_left
floor_plan_w_layout_gpt-5.2_202601291644.json,32,0,0,3.2,3.2,1.6,1.6,3.2,3.2,bottom_left
floor_plan_w_layout_gpt-5.2_202601291650.json,33,0,0,3.2,3.2,1.6,1.6,3.2,3.2,bottom_left
Generated Image January 23, 2026 - 6_31PM_layout_gpt-5.2_202601231843.json,200,0,0,11,13,5.5,6.5,11,13,bottom_left
Generated Image January 23, 2026 - 6_31PM_layout_gpt-5.2_202601232226.json,168,0,0,11.6,10.2,5.8,5.1,11.6,10.2,bottom_left
house_garage_layout_gpt-5.2_202601252058.json,232,0,0,24,10,12,5,24,10,bottom_left
house_garage_layout_gpt-5.2_202601270426.json,252,0,0,21.5,8.2,10.75,4.1,21.5,8.2,bottom_left
house_garage_layout_gpt-5.2_202601271325.json,258,0,0,24,9.6,12,4.8,24,9.6,bottom_left
