file,area_x,area_y,floor_x,floor_y,origin,reason,room_minx,room_miny,room_maxx,room_maxy
atashinchi_layout_gpt-5.2_202601291620.json,11.6,11.6,,,bottom_left,polygon_min@0,0,0,11.6,11.6
Big_house_layout_gpt-5.2_202601252234.json,17,12,,,bottom_left,polygon_min@0,0,0,17,12
Big_house_layout_gpt-5.2_202601270534.json,14.8,10.8,,,bottom_left,polygon_min@0,0,0,14.8,10.8
complex_test_layout_gpt-5.2_202601161644.json,8,7,0,0,center,floor@0,0 (area_objects_list),,,,
complex_test_layout_gpt-5.2_202601162001.json,9,7,0,0,center,floor@0,0 (area_objects_list),,,,
complex_test_layout_gpt-5.2_202601171559.json,8.5,6.5,0,0,center,floor@0,0 (area_objects_list),,,,
complex_test_layout_gpt-5.2_202601171615.json,9,7,0,0,center,floor@0,0 (area_objects_list),,,,
complex_test_layout_gpt-5.2_202601171709.json,9,6.5,0,0,center,floor@0,0 (area_objects_list),,,,
complex_test_layout_gpt-5.2_202601171740.json,7,6.5,0,0,center,floor@0,0 (area_objects_list),,,,
complex_test_layout_gpt-5.2_202601181514.json,8,6,0,0,center,floor@0,0 (area_objects_list),,,,
complex_test_layout_gpt-5.2_202601181900.json,9,7,0,0,center,floor@0,0 (area_objects_list),,,,
complex_test_layout_gpt-5.2_202601202214.json,8,6,0,0,center,floor@0,0 (area_objects_list),,,,
complex_test_layout_gpt-5.2_202601202225.json,9,7,0,0,center,floor@0,0 (area_objects_list),,,,
complex_test_layout_gpt-5.2_202601221811.json,10,8,0,0,center,floor@0,0 (area_objects_list),,,,
floor_plan2_layout_gpt-4o-mini_202601131649.json,3.2,3.2,0,0,center,floor@0,0 (area_objects_list),,,,
floor_plan2_layout_gpt-5.2_202601122137.json,3.2,3.2,0,0,center,floor@0,0 (area_objects_list),,,,
floor_plan2_layout_gpt-5.2_202601122320.json,3.2,3.2,0,0,center,floor@0,0 (area_objects_list),,,,
floor_plan2_layout_gpt-5.2_202601131747.json,3.2,3.2,0,0,center,floor@0,0 (area_objects_list),,,,
floor_plan2_layout_gpt-5.2_202601132141.json,3.2,3.2,0,0,center,floor@0,0 (area_objects_list),,,,
floor_plan2_layout_gpt-5.2_202601132307.json,3.2,3.2,0,0,center,floor@0,0 (area_objects_list),,,,
floor_plan2_layout_gpt-5.2_202601140035.json,3.2,3.2,0,0,center,floor@0,0 (area_objects_list),,,,
floor_plan2_layout_gpt-5.2_202601140053.json,3.2,3.2,0,0,center,floor@0,0 (area_objects_list),,,,
floor_plan2_layout_gpt-5.2_202601140103.json,3.2,3.2,0,0,center,floor@0,0 (area_objects_list),,,,
floor_plan2_layout_gpt-5.2_202601140124.json,3.2,3.2,0,0,center,floor@0,0 (area_objects_list),,,,
floor_plan2_layout_gpt-5.2_202601182006.json,5,4.5,0,0,center,floor@0,0 (area_objects_list),,,,
floor_plan2_layout_gpt-5.2_202601202138.json,5,4.5,0,0,center,floor@0,0 (area_objects_list),,,,
floor_plan2_layout_gpt-5.2_202601202148.json,4.5,4.5,0,0,center,floor@0,0 (area_objects_list),,,,
floor_plan2_layout_gpt-5.2_202601270349.json,5.2,4.6,,,bottom_left,polygon_min@0,0,0,5.2,4.6
floor_plan3_layout_gpt-5.2_202601182129.json,3.2,3.2,0,0,center,floor@0,0 (area_objects_list),,,,
floor_plan3_layout_gpt-5.2_202601182154.json,3.2,3.2,0,0,center,floor@0,0 (area_objects_list),,,,
floor_plan3_layout_gpt-5.2_202601190059.json,3.2,3.2,0,0,center,floor@0,0 (area_objects_list),,,,
floor_plan3_layout_gpt-5.2_202601202236.json,3.2,3.2,0,0,center,floor@0,0 (area_objects_list),,,,
floor_plan3_layout_gpt-5.2_202601202244.json,3.2,3.2,0,0,center,floor@0,0 (area_objects_list),,,,
floor_plan_ c_layout_gpt-5.2_202601192136.json,10,5.6,0,0,center,floor@0,0 (area_objects_list),,,,
floor_plan_ c_layout_gpt-5.2_202601242046.json,15,6,,,bottom_left,polygon_min@0,0,0,15,6
floor_plan_w_layout_gpt-5.2_202601191721.json,3.2,3.2,0,0,center,floor@0,0 (area_objects_list),,,,
floor_plan_w_layout_gpt-5.2_202601191746.json,3.2,3.2,0,0,center,floor@0,0 (area_objects_list),,,,
floor_plan_w_layout_gpt-5.2_202601191806.json,3.2,3.2,0,0,center,floor@0,0 (area_objects_list),,,,
floor_plan_w_layout_gpt-5.2_202601191828.json,3.2,3.2,0,0,center,floor@0,0 (area_objects_list),,,,
floor_plan_w_layout_gpt-5.2_202601202254.json,3.2,3.2,0,0,center,floor@0,0 (area_objects_list),,,,
floor_plan_w_layout_gpt-5.2_202601291537.json,3.2,3.2,,,bottom_left,polygon_min@0,0,0,3.2,3.2
floor_plan_w_layout_gpt-5.2_202601291644.json,3.2,3.2,,,bottom_left,polygon_min@0,0,0,3.2,3.2
floor_plan_w_layout_gpt-5.2_202601291650.json,3.2,3.2,,,bottom_left,polygon_min@0,0,0,3.2,3.2
Generated Image January 23, 2026 - 6_31PM_layout_gpt-5.2_202601231843.json,11,13,,,bottom_left,polygon_min@0,0,0,11,13
Generated Image January 23, 2026 - 6_31PM_layout_gpt-5.2_202601232226.json,11.6,10.2,,,bottom_left,polygon_min@0,0,0,11.6,10.2
house_garage_layout_gpt-5.2_202601252058.json,24,10,,,bottom_left,polygon_min@0,0,0,24,10
house_garage_layout_gpt-5.2_202601270426.json,21.5,8.2,,,bottom_left,polygon_min@0,0,0,21.5,8.2
